SeasonType,Season,Week,Date,Team,Opponent,PointsAllowed,TouchdownsScored,Sacks,SackYards,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,BlockedKicks,Safeties,PuntReturnTouchdowns,KickReturnTouchdowns,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,QuarterbackHits,TacklesForLoss,DefensiveTouchdowns,SpecialTeamsTouchdowns,FantasyPoints,PointsAllowedByDefenseSpecialTeams,TwoPointConversionReturns,FantasyPointsFanDuel,FantasyPointsDraftKings,PlayerID,HomeOrAway,TeamID,OpponentID,ScoreID
2,2023,0,8/3/2023 8:00:00 PM,CLE,NYJ,16.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,0.00,0,4.00,16.00,0.00,4.00,4.00,8,HOME,8,24,18608
2,2023,0,8/3/2023 8:00:00 PM,NYJ,CLE,21.00,0.00,1.00,7.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,0.00,0,5.00,21.00,0.00,5.00,5.00,82,AWAY,24,8,18608
2,2023,1,8/10/2023 7:00:00 PM,HOU,NE,9.00,0.00,3.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,7.00,0.00,0,7.00,9.00,0.00,7.00,7.00,13,AWAY,13,21,18639
2,2023,1,8/10/2023 7:00:00 PM,NE,HOU,20.00,0.00,1.00,15.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0,6.00,20.00,0.00,6.00,6.00,21,HOME,21,13,18639
2,2023,1,8/10/2023 10:00:00 PM,MIN,SEA,24.00,0.00,1.00,8.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,1.00,0.00,0,3.00,24.00,0.00,3.00,3.00,67,AWAY,20,30,18646
2,2023,1,8/10/2023 10:00:00 PM,SEA,MIN,13.00,0.00,2.00,11.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,5.00,0.00,0,8.00,13.00,0.00,8.00,8.00,90,HOME,30,20,18646
2,2023,1,8/11/2023 7:00:00 PM,CIN,GB,36.00,1.00,1.00,0.00,1.00,1.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,6.00,1.00,0,9.00,36.00,0.00,9.00,9.00,7,HOME,7,12,18632
2,2023,1,8/11/2023 7:00:00 PM,GB,CIN,19.00,0.00,1.00,8.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,4.00,0.00,0,9.00,13.00,0.00,9.00,9.00,12,AWAY,12,7,18632
2,2023,1,8/11/2023 7:00:00 PM,ATL,MIA,3.00,2.00,5.00,40.00,1.00,1.00,0.00,3.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,9.00,8.00,1.00,1,32.00,3.00,0.00,32.00,32.00,2,AWAY,2,19,18635
2,2023,1,8/11/2023 7:00:00 PM,MIA,ATL,19.00,0.00,4.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,6.00,0.00,0,8.00,13.00,0.00,8.00,8.00,64,HOME,19,2,18635
