SeasonType,Season,Week,Date,Team,Opponent,PointsAllowed,TouchdownsScored,Sacks,SackYards,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,BlockedKicks,Safeties,PuntReturnTouchdowns,KickReturnTouchdowns,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,QuarterbackHits,TacklesForLoss,DefensiveTouchdowns,SpecialTeamsTouchdowns,FantasyPoints,PointsAllowedByDefenseSpecialTeams,TwoPointConversionReturns,FantasyPointsFanDuel,FantasyPointsDraftKings,PlayerID,HomeOrAway,TeamID,OpponentID,ScoreID
2,2023,0,8/3/2023 8:00:00 PM,CLE,NYJ,21.00,0.00,2.00,14.00,3.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,21.00,0.00,6.00,6.00,8,HOME,8,24,18608
2,2023,0,8/3/2023 8:00:00 PM,NYJ,CLE,27.00,0.00,1.00,10.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,3.00,21.00,0.00,3.00,3.00,82,AWAY,24,8,18608
2,2023,1,8/10/2023 7:00:00 PM,HOU,NE,0.00,0.00,3.00,23.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,17.00,0.00,0.00,17.00,17.00,13,AWAY,13,21,18639
2,2023,1,8/10/2023 7:00:00 PM,NE,HOU,23.00,0.00,2.00,14.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.00,23.00,0.00,2.00,2.00,21,HOME,21,13,18639
2,2023,1,8/10/2023 10:00:00 PM,MIN,SEA,23.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,3.00,17.00,0.00,3.00,3.00,67,AWAY,20,30,18646
2,2023,1,8/10/2023 10:00:00 PM,SEA,MIN,27.00,0.00,3.00,15.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,3.00,27.00,0.00,3.00,3.00,90,HOME,30,20,18646
2,2023,1,8/11/2023 7:00:00 PM,CIN,GB,7.00,0.00,2.00,22.00,3.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,10.00,7.00,0.00,10.00,10.00,7,HOME,7,12,18632
2,2023,1,8/11/2023 7:00:00 PM,GB,CIN,17.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1.00,17.00,0.00,1.00,1.00,12,AWAY,12,7,18632
2,2023,1,8/11/2023 7:00:00 PM,ATL,MIA,12.00,0.00,2.00,4.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,10.00,12.00,0.00,12.00,12.00,2,AWAY,2,19,18635
2,2023,1,8/11/2023 7:00:00 PM,MIA,ATL,10.00,1.00,2.00,19.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0,14.00,10.00,0.00,14.00,14.00,64,HOME,19,2,18635
2,2023,1,8/11/2023 7:00:00 PM,PIT,TB,9.00,0.00,3.00,23.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,9.00,9.00,0.00,9.00,9.00,28,AWAY,28,33,18645
2,2023,1,8/11/2023 7:00:00 PM,TB,PIT,27.00,0.00,3.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,3.00,27.00,0.00,3.00,3.00,95,HOME,33,28,18645
2,2023,1,8/11/2023 7:00:00 PM,DET,NYG,19.00,0.00,2.00,10.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,3.00,19.00,0.00,5.00,5.00,11,HOME,11,23,18647
2,2023,1,8/11/2023 7:00:00 PM,NYG,DET,31.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0,9.00,31.00,0.00,9.00,9.00,75,AWAY,23,11,18647
2,2023,1,8/11/2023 7:30:00 PM,CLE,WAS,21.00,0.00,2.00,14.00,3.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,21.00,0.00,6.00,6.00,8,HOME,8,35,18642
