SeasonType,Season,Team,PointsAllowed,TouchdownsScored,Sacks,SackYards,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,BlockedKicks,Safeties,PuntReturnTouchdowns,KickReturnTouchdowns,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,Games,QuarterbackHits,TacklesForLoss,DefensiveTouchdowns,SpecialTeamsTouchdowns,FantasyPoints,PointsAllowedByDefenseSpecialTeams,AuctionValue,AuctionValuePPR,TwoPointConversionReturns,FantasyPointsFanDuel,FantasyPointsDraftKings,PlayerID,AverageDraftPosition,AverageDraftPositionPPR,TeamID
5,2023,AFC,64.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,0,-4.00,64.00,,,0.00,-4.00,-4.00,104,,,36
1,2023,ARI,455.00,1.00,33.00,233.00,6.00,6.00,1.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17,59.00,76.00,1.00,0,65.00,437.00,,,0.00,65.00,65.00,1,,,1
2,2023,ARI,72.00,0.00,8.00,44.00,3.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,3,14.00,10.00,0.00,0,10.00,72.00,,,0.00,12.00,12.00,1,,,1
2,2023,ATL,40.00,2.00,8.00,60.00,1.00,1.00,0.00,4.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,3,16.00,17.00,1.00,1,41.00,40.00,,,0.00,41.00,41.00,2,,,2
1,2023,ATL,373.00,1.00,42.00,258.00,19.00,8.00,0.00,8.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,17,98.00,83.00,1.00,0,99.00,363.00,,,0.00,99.00,99.00,2,,,2
1,2023,BAL,280.00,2.00,60.00,454.00,16.00,13.00,0.00,18.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,17,115.00,89.00,1.00,1,174.00,268.00,,,0.00,174.00,174.00,36,,,3
2,2023,BAL,74.00,0.00,8.00,73.00,3.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,14.00,10.00,0.00,0,17.00,68.00,,,0.00,17.00,17.00,36,,,3
3,2023,BAL,27.00,0.00,2.00,11.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,13.00,7.00,0.00,0,7.00,27.00,,,0.00,7.00,7.00,36,,,3
3,2023,BUF,44.00,0.00,1.00,11.00,4.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,8.00,5.00,0.00,0,6.00,44.00,,,0.00,6.00,6.00,37,,,4
2,2023,BUF,67.00,0.00,8.00,60.00,1.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,14.00,14.00,0.00,0,18.00,61.00,,,0.00,18.00,18.00,37,,,4
1,2023,BUF,311.00,3.00,54.00,334.00,14.00,12.00,0.00,18.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,17,117.00,84.00,2.00,1,157.00,311.00,,,0.00,159.00,159.00,37,,,4
1,2023,CAR,416.00,3.00,27.00,193.00,5.00,4.00,0.00,8.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,17,74.00,75.00,2.00,1,73.00,386.00,,,0.00,73.00,73.00,5,,,5
