PlayerID,SeasonType,Season,Team,Number,Name,Position,PositionCategory,Played,Started,PassingAttempts,PassingCompletions,PassingYards,PassingCompletionPercentage,PassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,PassingRating,PassingLong,PassingSacks,PassingSackYards,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingLong,ReceivingTargets,Receptions,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingLong,Fumbles,FumblesLost,PuntReturns,PuntReturnYards,PuntReturnTouchdowns,KickReturns,KickReturnYards,KickReturnTouchdowns,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,FieldGoalsAttempted,FieldGoalsMade,ExtraPointsMade,TwoPointConversionPasses,TwoPointConversionRuns,TwoPointConversionReceptions,FantasyPoints,FantasyPosition,PlayerSeasonID,ExtraPointsAttempted,AuctionValue,AuctionValuePPR,FantasyPointsFanDuel,FieldGoalsMade0to19,FieldGoalsMade20to29,FieldGoalsMade30to39,FieldGoalsMade40to49,FieldGoalsMade50Plus,FantasyPointsDraftKings,AverageDraftPosition,AverageDraftPositionPPR,TeamID
549,2,2023,ARI,5,M.Prater,K,ST,3,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,4.00,2.00,0.00,0.00,0.00,16.00,K,990970152,3.00,,,16.00,0.00,1.00,2.00,0.00,1.00,16.00,,,1
549,1,2023,ARI,5,M.Prater,K,ST,17,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,28.00,22.00,0.00,0.00,0.00,124.00,K,990983913,23.00,,,130.00,0.00,6.00,7.00,6.00,9.00,130.00,,,1
11047,2,2023,ARI,12,C.McCoy,QB,OFF,2,2,12.00,9.00,42.00,75.0,3.5,4.7,0.00,0.00,79.17,12.00,0.00,0.00,2.00,11.00,5.5,0.00,6.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.78,QB,990970153,0.00,,,2.78,0.00,0.00,0.00,0.00,0.00,2.78,,,1
13913,2,2023,ARI,68,K.Beachum,OL,OFF,3,2,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,OL,990970154,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,1
13913,1,2023,ARI,68,K.Beachum,OL,OFF,11,2,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,OL,990983914,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,1
14042,1,2023,ARI,46,A.Brewer,LS,ST,17,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LS,990983915,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,1
14042,2,2023,ARI,46,A.Brewer,LS,ST,3,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LS,990970155,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,1
14856,2,2023,ARI,86,Z.Ertz,TE,OFF,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,TE,990976764,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,1
14856,1,2023,ARI,86,Z.Ertz,TE,OFF,7,7,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,43.00,27.00,187.00,6.9,1.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.70,TE,990983916,0.00,,,38.20,0.00,0.00,0.00,0.00,0.00,51.70,,,1
16031,1,2023,ARI,29,D.Williams,RB,OFF,3,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,11.00,43.00,3.9,0.00,9.00,2.00,2.00,12.00,6,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.50,RB,991022519,0.00,,,6.50,0.00,0.00,0.00,0.00,0.00,7.50,,,1
