PlayerID,SeasonType,Season,Team,Number,Name,Position,PositionCategory,Played,Started,PassingAttempts,PassingCompletions,PassingYards,PassingCompletionPercentage,PassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,PassingRating,PassingLong,PassingSacks,PassingSackYards,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingLong,ReceivingTargets,Receptions,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingLong,Fumbles,FumblesLost,PuntReturns,PuntReturnYards,PuntReturnTouchdowns,KickReturns,KickReturnYards,KickReturnTouchdowns,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,FieldGoalsAttempted,FieldGoalsMade,ExtraPointsMade,TwoPointConversionPasses,TwoPointConversionRuns,TwoPointConversionReceptions,FantasyPoints,FantasyPosition,PlayerSeasonID,ExtraPointsAttempted,AuctionValue,AuctionValuePPR,FantasyPointsFanDuel,FieldGoalsMade0to19,FieldGoalsMade20to29,FieldGoalsMade30to39,FieldGoalsMade40to49,FieldGoalsMade50Plus,FantasyPointsDraftKings,AverageDraftPosition,AverageDraftPositionPPR,TeamID
549,1,2023,ARI,5,Matt Prater,K,ST,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.90,22.70,34.00,0.00,0.00,0.00,102.10,K,,34.30,0,0,102.10,0.00,0.00,0.00,0.00,0.00,102.10,390.00,361.00,1
11047,1,2023,ARI,12,Colt McCoy,QB,OFF,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,QB,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,524.00,335.00,1
14856,1,2023,ARI,86,Zach Ertz,TE,OFF,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.02,0.10,0,0.00,0.00,57.50,41.10,394.50,9.6,3.00,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.26,TE,,0.00,2,2,77.81,0.00,0.00,0.00,0.00,0.00,98.46,219.00,223.00,1
17005,1,2023,ARI,87,Geoff Swaim,TE,OFF,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,12.00,10.60,74.40,6.7,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.64,TE,,0.00,0,0,16.94,0.00,0.00,0.00,0.00,0.00,22.24,941.00,955.00,1
18123,1,2023,ARI,19,Jeff Driskel,QB,OFF,17,17,12.80,9.30,66.10,69.2,5.1,7.3,0.30,1.70,41.35,0.00,0.00,0.00,0.60,1.30,1,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,QB,,0.00,0,0,2.27,0.00,0.00,0.00,0.00,0.00,2.27,791.00,866.00,1
18658,1,2023,ARI,33,Antonio Hamilton Sr.,CB,DEF,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.40,21.70,1.70,0.10,0.70,0.20,8.00,0.80,0.40,0.10,1.20,0.10,0.00,0.00,0.00,0.00,0.00,0.00,72.82,DB,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,1
18927,1,2023,ARI,3,Budda Baker,S,DEF,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84.40,42.20,4.40,2.50,17.50,5.20,6.20,1.10,0.60,0.10,2.40,0.20,0.00,0.00,0.00,0.00,0.00,0.00,142.35,DB,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,1
18983,1,2023,ARI,6,James Conner,RB,OFF,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,206.30,846.60,4.1,6.30,0.00,53.70,41.70,301.00,7.2,1.20,0.00,1.40,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,156.96,RB,,0.00,13,13,177.81,0.00,0.00,0.00,0.00,0.00,200.06,67.00,67.00,1
18998,1,2023,ARI,32,Marlon Mack,RB,OFF,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RB,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,1
19012,1,2023,ARI,94,Carlos Watkins,DT,DEF,17,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.90,11.40,3.50,1.80,12.60,3.80,1.00,0.40,0.20,0.00,0.50,0.10,0.00,0.00,0.00,0.00,0.00,0.00,45.66,DL,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,1
