GameKey,SeasonType,Season,Week,Date,AwayTeam,HomeTeam,AwayScore,HomeScore,PointSpread,OverUnder,AwayScoreQuarter1,AwayScoreQuarter2,AwayScoreQuarter3,AwayScoreQuarter4,AwayScoreOvertime,HomeScoreQuarter1,HomeScoreQuarter2,HomeScoreQuarter3,HomeScoreQuarter4,HomeScoreOvertime,StadiumID,ForecastTempLow,ForecastTempHigh,ForecastDescription,ForecastWindChill,ForecastWindSpeed,AwayTeamMoneyLine,HomeTeamMoneyLine,ScoreID,NeutralVenue,OverPayout,UnderPayout
202320008,2,2023,0,8/3/2023 8:00:00 PM,NYJ,CLE,16,21,2.0,33.5,6,10,0,0,0,0,7,7,7,0,46,64,66,Few Clouds,66,4,-135,112,18608,True,-112,-109
202320121,2,2023,1,8/10/2023 7:00:00 PM,HOU,NE,20,9,3.0,37.0,0,7,6,7,0,3,0,0,6,0,4,66,68,Light Rain,68,4,-164,136,18639,False,-112,-110
202320130,2,2023,1,8/10/2023 10:00:00 PM,MIN,SEA,13,24,-3.5,37.0,3,7,3,0,0,0,7,10,7,0,31,61,65,Broken Clouds,65,4,149,-182,18646,False,-110,-112
202320107,2,2023,1,8/11/2023 7:00:00 PM,GB,CIN,36,19,4.0,35.0,7,14,9,6,0,3,13,3,0,0,5,71,73,Few Clouds,73,5,-192,158,18632,False,-110,-111
202320111,2,2023,1,8/11/2023 7:00:00 PM,NYG,DET,16,21,1.0,35.5,6,7,0,3,0,3,0,11,7,0,21,66,69,Light Rain,69,6,-120,-102,18647,False,-110,-111
202320119,2,2023,1,8/11/2023 7:00:00 PM,ATL,MIA,19,3,-2.5,37.5,0,6,0,13,0,0,0,0,3,0,2,86,87,Few Clouds,86,9,115,-139,18635,False,-106,-115
202320133,2,2023,1,8/11/2023 7:00:00 PM,PIT,TB,27,17,3.0,39.5,7,10,10,0,0,0,7,0,10,0,24,85,86,Few Clouds,85,4,-157,128,18645,False,-111,-110
202320108,2,2023,1,8/11/2023 7:30:00 PM,WAS,CLE,17,15,-2.5,37.5,0,14,3,0,0,2,0,7,6,0,6,67,67,Light Rain,67,10,120,-144,18642,False,-110,-110
202320101,2,2023,1,8/11/2023 10:00:00 PM,DEN,ARI,17,18,5.5,37.0,0,10,0,7,0,0,0,3,15,0,29,92,96,Light Rain,96,11,-258,201,18622,False,-112,-109
202320104,2,2023,1,8/12/2023 1:00:00 PM,IND,BUF,19,23,3.5,37.0,0,7,6,6,0,7,3,7,6,0,1,63,66,Light Rain,66,5,-178,146,18618,False,-112,-109
202320106,2,2023,1,8/12/2023 1:00:00 PM,TEN,CHI,17,23,-3.5,37.0,7,10,0,0,0,14,0,6,3,0,20,71,74,Clear Sky,74,4,144,-178,18620,False,-112,-110
202320105,2,2023,1,8/12/2023 4:00:00 PM,NYJ,CAR,27,0,-3.0,35.0,3,10,0,14,0,0,0,0,0,0,26,75,77,Broken Clouds,75,4,124,-150,18648,False,-110,-110
202320109,2,2023,1,8/12/2023 5:00:00 PM,JAX,DAL,28,23,4.0,37.5,8,6,0,14,0,0,7,3,13,0,17,95,95,Clear Sky,95,15,-185,152,18629,False,-110,-112
202320103,2,2023,1,8/12/2023 7:00:00 PM,PHI,BAL,19,20,-6.0,35.0,3,10,0,6,0,0,10,7,3,0,7,79,80,Broken Clouds,80,7,211,-264,18617,False,-110,-110
202320132,2,2023,1,8/12/2023 9:00:00 PM,LAC,LAR,34,17,-2.5,33.5,3,17,0,14,0,0,7,7,3,0,54,71,72,Scattered Clouds,71,4,120,-146,18619,False,-119,-105
202320122,2,2023,1,8/13/2023 1:00:00 PM,KC,NO,24,26,-1.0,38.0,0,7,14,3,0,14,3,0,9,0,27,84,86,Clear Sky,86,8,100,-122,18637,False,-113,-108
202320125,2,2023,1,8/13/2023 4:00:00 PM,SF,LV,7,34,4.0,36.5,0,7,0,0,0,7,7,10,10,0,53,88,88,Broken Clouds,88,3,-200,161,18652,False,-109,-112
202320226,2,2023,2,8/17/2023 7:30:00 PM,CLE,PHI,18,18,-3.5,36.0,2,6,7,3,0,3,0,7,8,0,18,74,75,Light Rain,75,8,148,-181,18611,False,-110,-110
202320223,2,2023,2,8/18/2023 7:00:00 PM,CAR,NYG,19,21,-3.0,37.5,0,3,3,13,0,7,14,0,0,0,3,66,68,Clear Sky,68,10,141,-175,18649,False,-110,-110
202320202,2,2023,2,8/18/2023 7:30:00 PM,CIN,ATL,13,13,-6.0,38.5,0,3,3,7,0,0,3,7,3,0,45,75,77,Clear Sky,75,4,194,-242,18633,False,-109,-112
202320211,2,2023,2,8/19/2023 1:00:00 PM,JAX,DET,25,7,2.5,37.5,3,9,6,7,0,0,0,7,0,0,21,65,66,Clear Sky,66,5,-146,120,18630,False,-110,-112
202320213,2,2023,2,8/19/2023 4:00:00 PM,MIA,HOU,28,3,-1.0,39.0,7,14,7,0,0,0,3,0,0,0,11,84,86,Broken Clouds,86,7,-104,-119,18614,False,-109,-112
202320228,2,2023,2,8/19/2023 6:30:00 PM,BUF,PIT,15,27,1.5,42.5,0,0,0,15,0,14,7,6,0,0,8,60,62,Few Clouds,62,3,-119,-102,18612,False,-113,-109
202320214,2,2023,2,8/19/2023 7:00:00 PM,CHI,IND,17,24,-5.0,37.0,0,7,3,7,0,0,7,0,17,0,9,67,68,Scattered Clouds,68,6,172,-212,18613,False,-110,-110
202320224,2,2023,2,8/19/2023 7:30:00 PM,TB,NYJ,13,6,-3.0,36.5,0,10,0,3,0,0,6,0,0,0,3,69,69,Clear Sky,69,3,130,-157,18650,False,-112,-110
202320201,2,2023,2,8/19/2023 8:00:00 PM,KC,ARI,38,10,7.5,40.5,7,10,14,7,0,0,7,3,0,0,29,84,84,Scattered Clouds,84,8,-307,243,18624,False,-113,-109
202320212,2,2023,2,8/19/2023 8:00:00 PM,NE,GB,21,17,-2.5,37.0,7,7,7,0,0,7,10,0,0,0,22,70,72,Broken Clouds,72,8,120,-147,18640,False,-115,-106
202320220,2,2023,2,8/19/2023 8:00:00 PM,TEN,MIN,24,16,2.5,38.5,7,0,10,7,0,0,9,0,7,0,42,79,79,Clear Sky,79,9,-142,117,18625,False,-110,-112
202320231,2,2023,2,8/19/2023 8:30:00 PM,DEN,SF,20,21,3.5,40.0,3,3,7,7,0,3,0,6,12,0,37,67,68,Few Clouds,68,4,-164,134,18626,False,-108,-113
202320232,2,2023,2,8/19/2023 9:00:00 PM,LV,LAR,34,17,4.0,40.0,7,13,7,7,0,0,10,7,0,0,54,72,74,Light Rain,72,4,-210,171,18615,False,-109,-113
202320230,2,2023,2,8/19/2023 10:00:00 PM,DAL,SEA,14,22,-7.0,40.5,0,7,7,0,0,3,14,0,5,0,31,59,65,Clear Sky,65,4,216,-272,18643,False,-111,-110
202320229,2,2023,2,8/20/2023 7:05:00 PM,NO,LAC,22,17,3.0,36.5,0,13,3,6,0,0,10,0,7,0,54,69,70,Moderate Rain,69,17,-161,132,18616,False,-110,-110
202320235,2,2023,2,8/21/2023 8:00:00 PM,BAL,WAS,28,29,1.0,37.5,7,7,7,7,0,3,14,3,9,0,19,76,77,Few Clouds,76,7,-119,-103,18607,False,-109,-114
202320302,2,2023,3,8/24/2023 7:30:00 PM,PIT,ATL,24,0,6.0,38.5,17,7,0,0,0,0,0,0,0,0,45,77,78,Light Rain,78,5,-256,204,18636,False,-110,-110
