SeasonType,Season,Team,PointsAllowed,TouchdownsScored,Sacks,SackYards,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,BlockedKicks,Safeties,PuntReturnTouchdowns,KickReturnTouchdowns,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,Games,QuarterbackHits,TacklesForLoss,DefensiveTouchdowns,SpecialTeamsTouchdowns,FantasyPoints,PointsAllowedByDefenseSpecialTeams,AuctionValue,AuctionValuePPR,TwoPointConversionReturns,FantasyPointsFanDuel,FantasyPointsDraftKings,PlayerID,AverageDraftPosition,AverageDraftPositionPPR,TeamID
1,2023,ARI,449.00,1.60,36.10,266.00,12.00,9.40,0.50,11.40,1.10,1.00,0.00,0.00,0.00,0.00,0.00,17,104.00,86.00,1.60,0,88.00,437.00,0,0,0.00,90.00,90.00,1,444.00,288.00,1
1,2023,ATL,386.00,3.90,34.00,148.00,7.00,9.20,0.70,12.10,1.20,3.00,1.00,1.10,1.10,0.00,0.00,17,69.00,57.00,1.90,2,103.00,386.00,0,0,0.00,109.00,109.00,2,292.00,301.00,2
1,2023,BAL,315.00,3.40,44.60,305.00,14.00,10.50,1.10,13.50,1.30,2.00,0.00,0.45,0.45,0.00,0.00,17,95.00,77.00,2.40,1,114.00,309.00,1,0,0.00,118.00,118.00,36,156.00,152.00,3
1,2023,BUF,293.00,4.70,43.40,288.00,11.00,10.30,1.10,15.30,1.60,1.00,2.00,1.12,1.12,0.00,0.00,17,99.00,92.00,2.70,2,130.00,285.00,1,1,0.00,132.00,132.00,37,142.00,128.00,4
1,2023,CAR,374.00,2.20,39.70,230.00,9.00,9.60,0.90,9.80,1.30,4.00,0.00,0.00,0.00,0.00,0.00,17,90.00,88.00,2.20,0,92.00,362.00,0,0,0.00,100.00,100.00,5,281.00,259.00,5
1,2023,CHI,463.00,1.70,32.80,124.00,14.00,9.20,0.60,11.80,1.10,1.00,0.00,0.00,0.00,0.00,0.00,17,43.00,67.00,1.70,0,86.00,451.00,0,0,0.00,88.00,88.00,38,311.00,275.00,6
1,2023,CIN,325.00,2.10,40.00,163.00,14.00,9.90,0.90,12.90,1.20,2.00,0.00,0.00,0.00,0.00,0.00,17,94.00,54.00,2.10,0,98.00,313.00,1,0,0.00,102.00,102.00,7,233.00,214.00,7
1,2023,CLE,381.00,3.20,44.00,211.00,11.00,9.60,1.10,13.30,1.10,1.00,0.00,0.58,0.58,0.00,0.00,17,66.00,68.00,2.20,1,110.00,379.00,1,1,0.00,112.00,112.00,8,253.00,233.00,8
1,2023,DAL,342.00,3.10,46.80,352.00,22.00,11.80,1.20,14.40,1.90,2.00,0.00,0.00,0.00,0.00,0.00,17,110.00,93.00,3.10,0,118.00,324.00,1,1,0.00,122.00,122.00,48,134.00,125.00,9
1,2023,DEN,359.00,2.00,39.60,245.00,16.00,9.20,0.90,13.20,1.10,1.00,1.00,0.00,0.00,0.00,0.00,17,81.00,64.00,2.00,0,98.00,341.00,1,0,0.00,100.00,100.00,49,204.00,203.00,10
1,2023,DET,427.00,3.00,41.30,267.00,14.00,10.00,0.80,10.50,1.20,0.00,1.00,0.49,0.49,0.00,0.00,17,100.00,76.00,2.00,1,102.00,407.00,0,0,0.00,102.00,102.00,11,276.00,253.00,11
1,2023,GB,371.00,3.70,41.60,204.00,12.00,9.10,1.10,14.10,1.60,2.00,1.00,0.59,0.59,0.00,0.00,17,87.00,68.00,2.70,1,115.00,363.00,1,1,0.00,119.00,119.00,12,244.00,176.00,12
1,2023,HOU,420.00,1.70,39.80,217.00,14.00,9.70,0.60,12.40,1.10,0.00,1.00,0.00,0.00,0.00,0.00,17,80.00,95.00,1.70,0,97.00,378.00,0,0,0.00,97.00,97.00,13,313.00,315.00,13
1,2023,IND,427.00,2.90,42.10,267.00,14.00,10.40,0.60,12.80,1.30,2.00,0.00,0.40,0.40,0.00,0.00,17,90.00,91.00,1.90,1,105.00,397.00,1,1,0.00,109.00,109.00,14,290.00,297.00,14
1,2023,JAX,350.00,1.90,40.30,203.00,17.00,10.70,0.90,13.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,17,113.00,80.00,1.90,0,98.00,350.00,0,0,0.00,98.00,98.00,52,203.00,190.00,15
1,2023,KC,369.00,2.40,45.40,388.00,12.00,10.00,0.90,13.40,1.50,0.00,1.00,0.00,0.00,0.00,0.00,17,118.00,85.00,2.40,0,108.00,369.00,1,0,0.00,108.00,108.00,55,195.00,175.00,16
1,2023,LAC,384.00,2.20,42.60,287.00,15.00,10.20,0.90,13.10,1.30,1.00,1.00,0.00,0.00,0.00,0.00,17,76.00,76.00,2.20,0,104.00,378.00,0,0,0.00,106.00,106.00,84,272.00,251.00,29
1,2023,LAR,384.00,2.00,40.50,250.00,10.00,8.50,0.90,12.20,1.10,2.00,0.00,0.00,0.00,0.00,0.00,17,80.00,68.00,2.00,0,93.00,364.00,0,0,0.00,97.00,97.00,32,312.00,269.00,32
1,2023,LV,418.00,1.70,34.60,192.00,10.00,8.70,0.60,9.80,1.10,2.00,0.00,0.00,0.00,0.00,0.00,17,79.00,63.00,1.70,0,83.00,400.00,0,0,0.00,87.00,87.00,83,303.00,276.00,25
1,2023,MIA,399.00,3.70,45.20,290.00,13.00,10.10,0.90,13.50,1.80,2.00,1.00,0.53,0.53,0.00,0.00,17,102.00,75.00,2.70,1,116.00,383.00,1,1,0.00,120.00,120.00,64,189.00,180.00,19
1,2023,MIN,427.00,3.00,38.10,241.00,11.00,9.50,1.10,13.00,0.90,3.00,0.00,0.43,0.43,0.00,0.00,17,88.00,81.00,2.00,1,101.00,415.00,0,0,0.00,107.00,107.00,67,263.00,250.00,20
1,2023,NE,347.00,3.20,46.10,348.00,13.00,9.80,1.10,14.90,1.10,1.00,0.00,0.53,0.53,0.00,0.00,17,93.00,72.00,2.20,1,116.00,335.00,1,1,0.00,118.00,118.00,21,157.00,139.00,21
1,2023,NO,345.00,2.30,45.30,279.00,12.00,9.20,0.90,13.60,1.40,1.00,0.00,0.00,0.00,0.00,0.00,17,87.00,77.00,2.30,0,103.00,321.00,1,1,0.00,105.00,105.00,69,168.00,165.00,22
1,2023,NYG,371.00,2.20,40.80,271.00,20.00,10.50,0.90,12.30,1.30,1.00,0.00,0.00,0.00,0.00,0.00,17,106.00,73.00,2.20,0,100.00,369.00,0,0,0.00,102.00,102.00,75,271.00,247.00,23
