QuarterID,ScoreID,Number,Name,AwayTeamScore,HomeTeamScore
10563,18608,1,1,6,0
10564,18608,2,2,10,7
10565,18608,3,3,0,7
10566,18608,4,4,0,7
10567,18639,1,1,0,3
10568,18639,2,2,7,0
10569,18639,3,3,6,0
10570,18639,4,4,7,6
10571,18646,1,1,3,0
10572,18646,2,2,7,7
10573,18646,3,3,3,10
10574,18646,4,4,0,7
10575,18632,1,1,7,3
10581,18632,2,2,14,13
10587,18632,3,3,9,3
10592,18632,4,4,6,0
10582,18647,2,2,7,0
10578,18647,1,1,6,3
10586,18647,3,3,0,11
10591,18647,4,4,3,7
10577,18635,1,1,0,0
10579,18635,2,2,6,0
10583,18635,3,3,0,0
10588,18635,4,4,13,3
10589,18645,4,4,0,10
10584,18645,3,3,10,0
10580,18645,2,2,10,7
10576,18645,1,1,7,0
10585,18642,1,1,0,2
10590,18642,2,2,14,0
10594,18642,3,3,3,7
10596,18642,4,4,0,6
10597,18622,3,3,0,3
10598,18622,4,4,7,15
10595,18622,2,2,10,0
10593,18622,1,1,0,0
10600,18618,1,1,0,7
10602,18618,2,2,7,3
10603,18618,3,3,6,7
10605,18618,4,4,6,6
10606,18620,4,4,0,3
10604,18620,3,3,0,6
10601,18620,2,2,10,0
10599,18620,1,1,7,14
10607,18648,1,1,3,0
10608,18648,2,2,10,0
10610,18648,3,3,0,0
10612,18648,4,4,14,0
10613,18629,3,3,0,3
10611,18629,2,2,6,7
10609,18629,1,1,8,0
10615,18629,4,4,14,13
10616,18617,2,2,10,10
10617,18617,3,3,0,7
10614,18617,1,1,3,0
10619,18617,4,4,6,3
10620,18619,2,2,17,7
10621,18619,3,3,0,7
10622,18619,4,4,14,3
10618,18619,1,1,3,0
10623,18637,1,1,0,14
10624,18637,2,2,7,3
10625,18637,3,3,14,0
10626,18637,4,4,3,9
10627,18652,1,1,0,7
10628,18652,2,2,7,7
10629,18652,3,3,0,10
10630,18652,4,4,0,10
10631,18611,1,1,2,3
10632,18611,2,2,6,0
10633,18611,3,3,7,7
10634,18611,4,4,3,8
10635,18649,1,1,0,7
10637,18649,2,2,3,14
10639,18649,3,3,3,0
10641,18649,4,4,13,0
10642,18633,4,4,7,3
10640,18633,3,3,3,7
10638,18633,2,2,3,3
10636,18633,1,1,0,0
10643,18630,1,1,3,0
10644,18630,2,2,9,0
10645,18630,3,3,6,7
10646,18630,4,4,7,0
10647,18614,1,1,7,0
10648,18614,2,2,14,3
10649,18614,3,3,7,0
10650,18614,4,4,0,0
10651,18612,1,1,0,14
10660,18612,3,3,0,6
10653,18612,2,2,0,7
10665,18612,4,4,15,0
10669,18613,4,4,7,17
10655,18613,2,2,7,7
10661,18613,3,3,3,0
10652,18613,1,1,0,0
10654,18650,1,1,0,0
10670,18650,3,3,0,0
10659,18650,2,2,10,6
10674,18650,4,4,3,0
10679,18624,4,4,7,0
10663,18624,2,2,10,7
10656,18624,1,1,7,0
10673,18624,3,3,14,3
10658,18640,1,1,7,7
10666,18640,2,2,7,10
10680,18640,4,4,0,0
10675,18640,3,3,7,0
10664,18625,2,2,0,9
10657,18625,1,1,7,0
10672,18625,3,3,10,0
10678,18625,4,4,7,7
10662,18626,1,1,3,3
10668,18626,2,2,3,0
10676,18626,3,3,7,6
10681,18626,4,4,7,12
10671,18615,2,2,13,10
10667,18615,1,1,7,0
10683,18615,3,3,7,7
10684,18615,4,4,7,0
10685,18643,3,3,7,0
10686,18643,4,4,0,5
10682,18643,2,2,7,14
10677,18643,1,1,0,3
10687,18616,1,1,0,0
10688,18616,2,2,13,10
10689,18616,3,3,3,0
10690,18616,4,4,6,7
10691,18607,1,1,7,3
10692,18607,2,2,7,14
10693,18607,3,3,7,3
10694,18607,4,4,7,9
10695,18636,1,1,17,0
10697,18636,2,2,7,0
10699,18636,3,3,0,0
10700,18636,4,4,0,0
10701,18604,3,3,7,0
10702,18604,4,4,3,0
10698,18604,2,2,10,3
10696,18604,1,1,7,10
10703,18605,1,1,0,10
10705,18605,2,2,20,0
10707,18605,3,3,0,7
10711,18605,4,4,6,0
10708,18627,3,3,0,0
10706,18627,2,2,7,7
10710,18627,4,4,0,10
10704,18627,1,1,0,6
10709,18628,1,1,7,6
10712,18628,2,2,3,0
10713,18628,3,3,10,6
10714,18628,4,4,3,0
10717,18621,1,1,7,0
10719,18621,2,2,10,10
10725,18621,3,3,0,3
10729,18621,4,4,7,8
10728,18641,4,4,8,7
10720,18641,2,2,7,9
10723,18641,3,3,0,0
